Value,ConditionName,Measure
0.8,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
0.75,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
693.0,0BK_BODY,MEDIAN_RT
857.0,0BK_BODY,MEDIAN_RT_TARGET
693.0,0BK_BODY,MEDIAN_RT_NONTARGET
535.0,0BK_FACE,MEDIAN_RT
607.0,0BK_FACE,MEDIAN_RT_TARGET
476.0,0BK_FACE,MEDIAN_RT_NONTARGET
620.0,0BK_PLACE,MEDIAN_RT
633.5,0BK_PLACE,MEDIAN_RT_TARGET
620.0,0BK_PLACE,MEDIAN_RT_NONTARGET
678.0,0BK_TOOL,MEDIAN_RT
840.5,0BK_TOOL,MEDIAN_RT_TARGET
678.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.875,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
0.833333333333,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
1.0,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
1.0,2BK_TOOL,ACC_NONTARGET
1032.0,2BK_BODY,MEDIAN_RT
740.0,2BK_BODY,MEDIAN_RT_TARGET
1518.0,2BK_BODY,MEDIAN_RT_NONTARGET
863.0,2BK_FACE,MEDIAN_RT
553.0,2BK_FACE,MEDIAN_RT_TARGET
922.5,2BK_FACE,MEDIAN_RT_NONTARGET
825.0,2BK_PLACE,MEDIAN_RT
659.5,2BK_PLACE,MEDIAN_RT_TARGET
852.5,2BK_PLACE,MEDIAN_RT_NONTARGET
932.5,2BK_TOOL,MEDIAN_RT
974.5,2BK_TOOL,MEDIAN_RT_TARGET
932.5,2BK_TOOL,MEDIAN_RT_NONTARGET
