Value,ConditionName,Measure
0.8,0BK_BODY,ACC
0.5,0BK_BODY,ACC_TARGET
0.875,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
0.8,0BK_TOOL,ACC
0.5,0BK_TOOL,ACC_TARGET
0.875,0BK_TOOL,ACC_NONTARGET
946.0,0BK_BODY,MEDIAN_RT
1822.0,0BK_BODY,MEDIAN_RT_TARGET
945.0,0BK_BODY,MEDIAN_RT_NONTARGET
618.0,0BK_FACE,MEDIAN_RT
681.0,0BK_FACE,MEDIAN_RT_TARGET
601.5,0BK_FACE,MEDIAN_RT_NONTARGET
678.0,0BK_PLACE,MEDIAN_RT
601.5,0BK_PLACE,MEDIAN_RT_TARGET
744.0,0BK_PLACE,MEDIAN_RT_NONTARGET
806.5,0BK_TOOL,MEDIAN_RT
942.0,0BK_TOOL,MEDIAN_RT_TARGET
792.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.875,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
0.833333333333,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
0.625,2BK_PLACE,ACC
0.0,2BK_PLACE,ACC_TARGET
0.833333333333,2BK_PLACE,ACC_NONTARGET
0.75,2BK_TOOL,ACC
0.5,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
1152.0,2BK_BODY,MEDIAN_RT
1232.5,2BK_BODY,MEDIAN_RT_TARGET
1133.0,2BK_BODY,MEDIAN_RT_NONTARGET
962.5,2BK_FACE,MEDIAN_RT
968.5,2BK_FACE,MEDIAN_RT_TARGET
962.5,2BK_FACE,MEDIAN_RT_NONTARGET
965.0,2BK_PLACE,MEDIAN_RT
nan,2BK_PLACE,MEDIAN_RT_TARGET
965.0,2BK_PLACE,MEDIAN_RT_NONTARGET
1301.0,2BK_TOOL,MEDIAN_RT
892.0,2BK_TOOL,MEDIAN_RT_TARGET
1373.0,2BK_TOOL,MEDIAN_RT_NONTARGET
